timestamp,event,task_id,retry,node_name,node_ip,node_port,job_id,queue_len,state_from,state_to,source,module_name,function_name,arg_count,coordinator_ip,coordinator_port,status,started_at,finished_at,callback_ok,error
"2026-03-03T16:27:24.660","CONDUCTOR_START","","","conductor","192.168.12.2","9002","","","","","","","","","","","","","","",""
"2026-03-03T16:27:25.001","NODE_STATE_CHANGED","","","ID-10","192.168.12.3","8003","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:27:25.003","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","down","idle","","","","","","","","","","",""
"2026-03-03T16:27:25.004","NODE_STATE_CHANGED","","","D-O","192.168.12.13","8013","","0","down","busy","","","","","","","","","","",""
"2026-03-03T16:27:58.086","TASK_QUEUED","2dcb0dc7-b702-4620-a555-7e765e2ba6c6","0","","","","","1","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:27:58.318","DISPATCH_START","2dcb0dc7-b702-4620-a555-7e765e2ba6c6","0","C-3PX","192.168.12.12","8012","","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:27:58.321","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","idle","busy","","","","","","","","","","",""
"2026-03-03T16:27:58.331","DISPATCH_OK","2dcb0dc7-b702-4620-a555-7e765e2ba6c6","0","C-3PX","192.168.12.12","8012","d1740674-c87c-483d-af28-e8e43d89a9fa","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13000","","","","",""
"2026-03-03T16:27:58.482","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","busy","idle","","","","","","","","","","",""
"2026-03-03T16:27:58.482","TASK_DONE","2dcb0dc7-b702-4620-a555-7e765e2ba6c6","","C-3PX","192.168.12.12","8012","d1740674-c87c-483d-af28-e8e43d89a9fa","0","","","","","","","","","OK","2026-03-03T16:27:58.322","2026-03-03T16:27:58.481","true",""
"2026-03-03T16:27:58.718","TASK_QUEUED","b89291e6-41bc-4667-92b2-773625b3e066","0","","","","","1","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13001","","","","",""
"2026-03-03T16:27:58.926","DISPATCH_START","b89291e6-41bc-4667-92b2-773625b3e066","0","C-3PX","192.168.12.12","8012","","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13001","","","","",""
"2026-03-03T16:27:58.930","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","idle","busy","","","","","","","","","","",""
"2026-03-03T16:27:58.930","DISPATCH_OK","b89291e6-41bc-4667-92b2-773625b3e066","0","C-3PX","192.168.12.12","8012","90ce4714-2b71-440d-b297-ba8ceb2ecb77","0","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13001","","","","",""
"2026-03-03T16:27:58.994","NODE_STATE_CHANGED","","","C-3PX","192.168.12.12","8012","","0","busy","idle","","","","","","","","","","",""
"2026-03-03T16:27:59.063","TASK_DONE","b89291e6-41bc-4667-92b2-773625b3e066","","C-3PX","192.168.12.12","8012","90ce4714-2b71-440d-b297-ba8ceb2ecb77","0","","","","","","","","","OK","2026-03-03T16:27:58.930","2026-03-03T16:27:59.062","true",""
"2026-03-03T16:27:59.082","TASK_QUEUED","4673a3a0-96e8-4976-a606-ecc1e12257d0","0","","","","","1","","","Julia_GeneralObjectiveFunction","Julia_GeneralObjectiveFunction","objective_from_string","1","192.168.12.2","13002","","","","",""
